segment,base_model_name,tuned_model_name,feature_block,encoding_strategy,best_validation_mae,refit_validation_mae,train_rows,validation_rows,n_trials,best_params
single,catboost_native__single_core,catboost_tuned__single_core,single_core,native,3.4613464289452756,3.4613464289452756,3299,534,20,"{""bagging_temperature"": 0.6086064543153632, ""depth"": 7, ""iterations"": 566, ""l2_leaf_reg"": 0.9812145092863188, ""learning_rate"": 0.05717957473328295, ""random_strength"": 2.625657334423168}"
single,lightgbm_native__single_core,lightgbm_tuned__single_core,single_core,native,3.500491989735278,3.500491989735278,3299,534,20,"{""colsample_bytree"": 0.8380850600861003, ""learning_rate"": 0.04939459366292596, ""min_child_samples"": 11, ""n_estimators"": 541, ""num_leaves"": 88, ""reg_alpha"": 0.0015286847769526764, ""reg_lambda"": 3.860702566319364e-06, ""subsample"": 0.6734261092368607}"
worst_of,catboost_native__worst_of_core,catboost_tuned__worst_of_core,worst_of_core,native,2.940935630883875,2.940935630883875,6508,1044,20,"{""bagging_temperature"": 0.004666680191853956, ""depth"": 6, ""iterations"": 881, ""l2_leaf_reg"": 29.714201434853976, ""learning_rate"": 0.045613905618939306, ""random_strength"": 1.6337954972186042}"
worst_of,hist_gradient_boosting__worst_of_core,hist_gradient_boosting_tuned__worst_of_core,worst_of_core,ordinal,3.0106561080391687,3.0106561080391687,6508,1044,20,"{""l2_regularization"": 3.435888063303498e-05, ""learning_rate"": 0.056789356940519904, ""max_bins"": 92, ""max_iter"": 278, ""max_leaf_nodes"": 30, ""min_samples_leaf"": 23}"
