source,evaluation_protocol,segment,model_name,base_model_name,feature_block,encoding_strategy,feature_count,numeric_feature_count,categorical_feature_count,validation_mae,validation_rmse,validation_r2,validation_median_absolute_error,test_mae,test_rmse,test_r2,test_median_absolute_error,rolling_mae_mean,rolling_mae_std,rolling_mae_min,rolling_mae_max,rolling_r2_mean,rolling_n_folds,train_rows,validation_rows,test_rows,rolling_min_validation_rows,rolling_max_validation_rows,fit_seconds,validation_predict_seconds,final_fit_seconds,test_predict_seconds,numeric_features,categorical_features,feature_names,selection_metric,selection_mae
global_rolling,rolling_yearly,global,hist_gradient_boosting__global_stable_tail,,global_stable_tail,ordinal,,,,,,,,,,,,4.065079464195332,1.000106862850984,,5.651730494296957,,5.0,,,,,,,,,,,,,rolling_mae_mean,4.065079464195332
segmented_rolling,rolling_yearly,single,lightgbm_native__single_stable,,single_stable,native,19.0,15.0,4.0,,,,,,,,,4.845197366488228,2.0512244890443743,2.7234742870970945,7.958127275108662,0.7964492310459643,5.0,,,,494.0,587.0,0.2426345718005905,0.0209625509989564,,,autocall_barrier_pct|protection_barrier_pct|barrier_gap_pct|no_call_period_months|no_call_fraction_of_maturity|callable_maturity_months|observation_interval_months|is_daily_observation|estimated_observation_count|nominal_maturity_months|structural_base_vol_mean|quoted_implied_vol|realized_vol_63d_mean|basket_realized_vol_21d_mean|basket_realized_vol_126d_mean,observation_frequency_clean|product_type|nominal_maturity_bucket|dominant_sector,autocall_barrier_pct|protection_barrier_pct|barrier_gap_pct|no_call_period_months|no_call_fraction_of_maturity|callable_maturity_months|observation_interval_months|is_daily_observation|estimated_observation_count|nominal_maturity_months|structural_base_vol_mean|quoted_implied_vol|realized_vol_63d_mean|basket_realized_vol_21d_mean|basket_realized_vol_126d_mean|observation_frequency_clean|product_type|nominal_maturity_bucket|dominant_sector,rolling_mae_mean,4.845197366488228
segmented_rolling,rolling_yearly,worst_of,hist_gradient_boosting__worst_of_tail_focus,,worst_of_tail_focus,ordinal,153.0,140.0,13.0,,,,,,,,,3.501776992034144,0.4995003976225875,2.99802000633768,4.293456354736835,0.9539448818521168,5.0,,,,1038.0,1124.0,2.334088729599898,0.0380792456009658,,,autocall_barrier_pct|protection_barrier_pct|barrier_gap_pct|no_call_period_months|no_call_fraction_of_maturity|callable_maturity_months|observation_interval_months|is_daily_observation|estimated_observation_count|nominal_maturity_months|basket_size|underlying_BSKR|underlying_CLNE|underlying_CORL|underlying_DRC|underlying_HTTX|underlying_JEDI|underlying_KYBR|underlying_MNDO|underlying_NABO|underlying_POBK|underlying_REBL|underlying_SITH|underlying_TECH|underlying_WOOK|pair_BSKR_CLNE|pair_BSKR_CORL|pair_BSKR_DRC|pair_BSKR_HTTX|pair_BSKR_JEDI|pair_BSKR_KYBR|pair_BSKR_MNDO|pair_BSKR_NABO|pair_BSKR_POBK|pair_BSKR_REBL|pair_BSKR_SITH|pair_BSKR_TECH|pair_BSKR_WOOK|pair_CLNE_CORL|pair_CLNE_DRC|pair_CLNE_HTTX|pair_CLNE_JEDI|pair_CLNE_KYBR|pair_CLNE_MNDO|pair_CLNE_NABO|pair_CLNE_POBK|pair_CLNE_REBL|pair_CLNE_SITH|pair_CLNE_TECH|pair_CLNE_WOOK|pair_CORL_DRC|pair_CORL_HTTX|pair_CORL_JEDI|pair_CORL_KYBR|pair_CORL_MNDO|pair_CORL_NABO|pair_CORL_POBK|pair_CORL_REBL|pair_CORL_SITH|pair_CORL_TECH|pair_CORL_WOOK|pair_DRC_HTTX|pair_DRC_JEDI|pair_DRC_KYBR|pair_DRC_MNDO|pair_DRC_NABO|pair_DRC_POBK|pair_DRC_REBL|pair_DRC_SITH|pair_DRC_TECH|pair_DRC_WOOK|pair_HTTX_JEDI|pair_HTTX_KYBR|pair_HTTX_MNDO|pair_HTTX_NABO|pair_HTTX_POBK|pair_HTTX_REBL|pair_HTTX_SITH|pair_HTTX_TECH|pair_HTTX_WOOK|pair_JEDI_KYBR|pair_JEDI_MNDO|pair_JEDI_NABO|pair_JEDI_POBK|pair_JEDI_REBL|pair_JEDI_SITH|pair_JEDI_TECH|pair_JEDI_WOOK|pair_KYBR_MNDO|pair_KYBR_NABO|pair_KYBR_POBK|pair_KYBR_REBL|pair_KYBR_SITH|pair_KYBR_TECH|pair_KYBR_WOOK|pair_MNDO_NABO|pair_MNDO_POBK|pair_MNDO_REBL|pair_MNDO_SITH|pair_MNDO_TECH|pair_MNDO_WOOK|pair_NABO_POBK|pair_NABO_REBL|pair_NABO_SITH|pair_NABO_TECH|pair_NABO_WOOK|pair_POBK_REBL|pair_POBK_SITH|pair_POBK_TECH|pair_POBK_WOOK|pair_REBL_SITH|pair_REBL_TECH|pair_REBL_WOOK|pair_SITH_TECH|pair_SITH_WOOK|pair_TECH_WOOK|basket_complexity_score|worst_of_pressure|worst_of_vol_pressure|structural_base_vol_min|structural_base_vol_max|structural_base_vol_second_highest|structural_base_vol_range|structural_base_vol_top2_spread|structural_vol_dispersion_ratio|sector_count|sector_concentration|has_multiple_sectors|realized_vol_63d_second_highest|realized_vol_63d_top2_spread|worst_of_structural_base_vol_range|worst_of_structural_vol_top2_spread|worst_of_realized_vol_63d_range|worst_of_realized_vol_top2_spread|quoted_implied_vol|realized_vol_63d_min|realized_vol_63d_max|realized_vol_63d_range|basket_realized_vol_21d_max|basket_realized_vol_126d_max,observation_frequency_clean|product_type|basket_type|nominal_maturity_bucket|basket_signature|dominant_sector|highest_vol_sector|highest_structural_vol_underlying|second_highest_structural_vol_underlying|lowest_structural_vol_underlying|highest_realized_vol_underlying|second_highest_realized_vol_underlying|lowest_realized_vol_underlying,autocall_barrier_pct|protection_barrier_pct|barrier_gap_pct|no_call_period_months|no_call_fraction_of_maturity|callable_maturity_months|observation_interval_months|is_daily_observation|estimated_observation_count|nominal_maturity_months|basket_size|underlying_BSKR|underlying_CLNE|underlying_CORL|underlying_DRC|underlying_HTTX|underlying_JEDI|underlying_KYBR|underlying_MNDO|underlying_NABO|underlying_POBK|underlying_REBL|underlying_SITH|underlying_TECH|underlying_WOOK|pair_BSKR_CLNE|pair_BSKR_CORL|pair_BSKR_DRC|pair_BSKR_HTTX|pair_BSKR_JEDI|pair_BSKR_KYBR|pair_BSKR_MNDO|pair_BSKR_NABO|pair_BSKR_POBK|pair_BSKR_REBL|pair_BSKR_SITH|pair_BSKR_TECH|pair_BSKR_WOOK|pair_CLNE_CORL|pair_CLNE_DRC|pair_CLNE_HTTX|pair_CLNE_JEDI|pair_CLNE_KYBR|pair_CLNE_MNDO|pair_CLNE_NABO|pair_CLNE_POBK|pair_CLNE_REBL|pair_CLNE_SITH|pair_CLNE_TECH|pair_CLNE_WOOK|pair_CORL_DRC|pair_CORL_HTTX|pair_CORL_JEDI|pair_CORL_KYBR|pair_CORL_MNDO|pair_CORL_NABO|pair_CORL_POBK|pair_CORL_REBL|pair_CORL_SITH|pair_CORL_TECH|pair_CORL_WOOK|pair_DRC_HTTX|pair_DRC_JEDI|pair_DRC_KYBR|pair_DRC_MNDO|pair_DRC_NABO|pair_DRC_POBK|pair_DRC_REBL|pair_DRC_SITH|pair_DRC_TECH|pair_DRC_WOOK|pair_HTTX_JEDI|pair_HTTX_KYBR|pair_HTTX_MNDO|pair_HTTX_NABO|pair_HTTX_POBK|pair_HTTX_REBL|pair_HTTX_SITH|pair_HTTX_TECH|pair_HTTX_WOOK|pair_JEDI_KYBR|pair_JEDI_MNDO|pair_JEDI_NABO|pair_JEDI_POBK|pair_JEDI_REBL|pair_JEDI_SITH|pair_JEDI_TECH|pair_JEDI_WOOK|pair_KYBR_MNDO|pair_KYBR_NABO|pair_KYBR_POBK|pair_KYBR_REBL|pair_KYBR_SITH|pair_KYBR_TECH|pair_KYBR_WOOK|pair_MNDO_NABO|pair_MNDO_POBK|pair_MNDO_REBL|pair_MNDO_SITH|pair_MNDO_TECH|pair_MNDO_WOOK|pair_NABO_POBK|pair_NABO_REBL|pair_NABO_SITH|pair_NABO_TECH|pair_NABO_WOOK|pair_POBK_REBL|pair_POBK_SITH|pair_POBK_TECH|pair_POBK_WOOK|pair_REBL_SITH|pair_REBL_TECH|pair_REBL_WOOK|pair_SITH_TECH|pair_SITH_WOOK|pair_TECH_WOOK|basket_complexity_score|worst_of_pressure|worst_of_vol_pressure|structural_base_vol_min|structural_base_vol_max|structural_base_vol_second_highest|structural_base_vol_range|structural_base_vol_top2_spread|structural_vol_dispersion_ratio|sector_count|sector_concentration|has_multiple_sectors|realized_vol_63d_second_highest|realized_vol_63d_top2_spread|worst_of_structural_base_vol_range|worst_of_structural_vol_top2_spread|worst_of_realized_vol_63d_range|worst_of_realized_vol_top2_spread|quoted_implied_vol|realized_vol_63d_min|realized_vol_63d_max|realized_vol_63d_range|basket_realized_vol_21d_max|basket_realized_vol_126d_max|observation_frequency_clean|product_type|basket_type|nominal_maturity_bucket|basket_signature|dominant_sector|highest_vol_sector|highest_structural_vol_underlying|second_highest_structural_vol_underlying|lowest_structural_vol_underlying|highest_realized_vol_underlying|second_highest_realized_vol_underlying|lowest_realized_vol_underlying,rolling_mae_mean,3.501776992034144
final_model,temporal_holdout,global,catboost_tuned__all_without_noise,,all_without_noise,native,173.0,159.0,14.0,3.0831778335806086,,,,4.04182935994772,5.664940498757515,0.9372548346298752,2.732419168780723,,,,,,,9807.0,1578.0,2411.0,,,,,,,autocall_barrier_pct|protection_barrier_pct|barrier_gap_pct|autocall_barrier_above_par_pct|protection_buffer_pct|autocall_to_protection_ratio|no_call_period_months|no_call_fraction_of_maturity|callable_maturity_months|observation_interval_months|is_daily_observation|estimated_observation_count|post_no_call_observation_count|nominal_maturity_months|requested_year|basket_size|is_worst_of|is_single_underlying|underlying_BSKR|underlying_CLNE|underlying_CORL|underlying_DRC|underlying_HTTX|underlying_JEDI|underlying_KYBR|underlying_MNDO|underlying_NABO|underlying_POBK|underlying_REBL|underlying_SITH|underlying_TECH|underlying_WOOK|pair_BSKR_CLNE|pair_BSKR_CORL|pair_BSKR_DRC|pair_BSKR_HTTX|pair_BSKR_JEDI|pair_BSKR_KYBR|pair_BSKR_MNDO|pair_BSKR_NABO|pair_BSKR_POBK|pair_BSKR_REBL|pair_BSKR_SITH|pair_BSKR_TECH|pair_BSKR_WOOK|pair_CLNE_CORL|pair_CLNE_DRC|pair_CLNE_HTTX|pair_CLNE_JEDI|pair_CLNE_KYBR|pair_CLNE_MNDO|pair_CLNE_NABO|pair_CLNE_POBK|pair_CLNE_REBL|pair_CLNE_SITH|pair_CLNE_TECH|pair_CLNE_WOOK|pair_CORL_DRC|pair_CORL_HTTX|pair_CORL_JEDI|pair_CORL_KYBR|pair_CORL_MNDO|pair_CORL_NABO|pair_CORL_POBK|pair_CORL_REBL|pair_CORL_SITH|pair_CORL_TECH|pair_CORL_WOOK|pair_DRC_HTTX|pair_DRC_JEDI|pair_DRC_KYBR|pair_DRC_MNDO|pair_DRC_NABO|pair_DRC_POBK|pair_DRC_REBL|pair_DRC_SITH|pair_DRC_TECH|pair_DRC_WOOK|pair_HTTX_JEDI|pair_HTTX_KYBR|pair_HTTX_MNDO|pair_HTTX_NABO|pair_HTTX_POBK|pair_HTTX_REBL|pair_HTTX_SITH|pair_HTTX_TECH|pair_HTTX_WOOK|pair_JEDI_KYBR|pair_JEDI_MNDO|pair_JEDI_NABO|pair_JEDI_POBK|pair_JEDI_REBL|pair_JEDI_SITH|pair_JEDI_TECH|pair_JEDI_WOOK|pair_KYBR_MNDO|pair_KYBR_NABO|pair_KYBR_POBK|pair_KYBR_REBL|pair_KYBR_SITH|pair_KYBR_TECH|pair_KYBR_WOOK|pair_MNDO_NABO|pair_MNDO_POBK|pair_MNDO_REBL|pair_MNDO_SITH|pair_MNDO_TECH|pair_MNDO_WOOK|pair_NABO_POBK|pair_NABO_REBL|pair_NABO_SITH|pair_NABO_TECH|pair_NABO_WOOK|pair_POBK_REBL|pair_POBK_SITH|pair_POBK_TECH|pair_POBK_WOOK|pair_REBL_SITH|pair_REBL_TECH|pair_REBL_WOOK|pair_SITH_TECH|pair_SITH_WOOK|pair_TECH_WOOK|basket_complexity_score|worst_of_pressure|worst_of_vol_pressure|structural_base_vol_mean|structural_base_vol_min|structural_base_vol_max|structural_base_vol_second_highest|structural_base_vol_range|structural_base_vol_top2_spread|structural_vol_dispersion_ratio|sector_count|sector_concentration|has_multiple_sectors|realized_vol_63d_second_highest|realized_vol_63d_top2_spread|worst_of_structural_base_vol_range|worst_of_structural_vol_top2_spread|worst_of_realized_vol_63d_range|worst_of_realized_vol_top2_spread|quoted_implied_vol|realized_vol_63d_mean|realized_vol_63d_min|realized_vol_63d_max|realized_vol_63d_range|basket_realized_vol_21d_mean|basket_realized_vol_21d_max|basket_realized_vol_126d_mean|basket_realized_vol_126d_max|basket_realized_vol_trend_mean|basket_realized_vol_trend_max|basket_realized_vol_zscore_mean|basket_realized_vol_zscore_max|basket_realized_vol_change_21d_mean|basket_realized_vol_change_21d_max|realized_to_structural_vol_ratio|realized_vol_dispersion_ratio,observation_frequency_clean|product_type|basket_type|nominal_maturity_bucket|basket_signature|primary_underlying|dominant_sector|highest_vol_sector|highest_structural_vol_underlying|second_highest_structural_vol_underlying|lowest_structural_vol_underlying|highest_realized_vol_underlying|second_highest_realized_vol_underlying|lowest_realized_vol_underlying,autocall_barrier_pct|protection_barrier_pct|barrier_gap_pct|autocall_barrier_above_par_pct|protection_buffer_pct|autocall_to_protection_ratio|no_call_period_months|no_call_fraction_of_maturity|callable_maturity_months|observation_interval_months|is_daily_observation|estimated_observation_count|post_no_call_observation_count|nominal_maturity_months|requested_year|basket_size|is_worst_of|is_single_underlying|underlying_BSKR|underlying_CLNE|underlying_CORL|underlying_DRC|underlying_HTTX|underlying_JEDI|underlying_KYBR|underlying_MNDO|underlying_NABO|underlying_POBK|underlying_REBL|underlying_SITH|underlying_TECH|underlying_WOOK|pair_BSKR_CLNE|pair_BSKR_CORL|pair_BSKR_DRC|pair_BSKR_HTTX|pair_BSKR_JEDI|pair_BSKR_KYBR|pair_BSKR_MNDO|pair_BSKR_NABO|pair_BSKR_POBK|pair_BSKR_REBL|pair_BSKR_SITH|pair_BSKR_TECH|pair_BSKR_WOOK|pair_CLNE_CORL|pair_CLNE_DRC|pair_CLNE_HTTX|pair_CLNE_JEDI|pair_CLNE_KYBR|pair_CLNE_MNDO|pair_CLNE_NABO|pair_CLNE_POBK|pair_CLNE_REBL|pair_CLNE_SITH|pair_CLNE_TECH|pair_CLNE_WOOK|pair_CORL_DRC|pair_CORL_HTTX|pair_CORL_JEDI|pair_CORL_KYBR|pair_CORL_MNDO|pair_CORL_NABO|pair_CORL_POBK|pair_CORL_REBL|pair_CORL_SITH|pair_CORL_TECH|pair_CORL_WOOK|pair_DRC_HTTX|pair_DRC_JEDI|pair_DRC_KYBR|pair_DRC_MNDO|pair_DRC_NABO|pair_DRC_POBK|pair_DRC_REBL|pair_DRC_SITH|pair_DRC_TECH|pair_DRC_WOOK|pair_HTTX_JEDI|pair_HTTX_KYBR|pair_HTTX_MNDO|pair_HTTX_NABO|pair_HTTX_POBK|pair_HTTX_REBL|pair_HTTX_SITH|pair_HTTX_TECH|pair_HTTX_WOOK|pair_JEDI_KYBR|pair_JEDI_MNDO|pair_JEDI_NABO|pair_JEDI_POBK|pair_JEDI_REBL|pair_JEDI_SITH|pair_JEDI_TECH|pair_JEDI_WOOK|pair_KYBR_MNDO|pair_KYBR_NABO|pair_KYBR_POBK|pair_KYBR_REBL|pair_KYBR_SITH|pair_KYBR_TECH|pair_KYBR_WOOK|pair_MNDO_NABO|pair_MNDO_POBK|pair_MNDO_REBL|pair_MNDO_SITH|pair_MNDO_TECH|pair_MNDO_WOOK|pair_NABO_POBK|pair_NABO_REBL|pair_NABO_SITH|pair_NABO_TECH|pair_NABO_WOOK|pair_POBK_REBL|pair_POBK_SITH|pair_POBK_TECH|pair_POBK_WOOK|pair_REBL_SITH|pair_REBL_TECH|pair_REBL_WOOK|pair_SITH_TECH|pair_SITH_WOOK|pair_TECH_WOOK|basket_complexity_score|worst_of_pressure|worst_of_vol_pressure|structural_base_vol_mean|structural_base_vol_min|structural_base_vol_max|structural_base_vol_second_highest|structural_base_vol_range|structural_base_vol_top2_spread|structural_vol_dispersion_ratio|sector_count|sector_concentration|has_multiple_sectors|realized_vol_63d_second_highest|realized_vol_63d_top2_spread|worst_of_structural_base_vol_range|worst_of_structural_vol_top2_spread|worst_of_realized_vol_63d_range|worst_of_realized_vol_top2_spread|quoted_implied_vol|realized_vol_63d_mean|realized_vol_63d_min|realized_vol_63d_max|realized_vol_63d_range|basket_realized_vol_21d_mean|basket_realized_vol_21d_max|basket_realized_vol_126d_mean|basket_realized_vol_126d_max|basket_realized_vol_trend_mean|basket_realized_vol_trend_max|basket_realized_vol_zscore_mean|basket_realized_vol_zscore_max|basket_realized_vol_change_21d_mean|basket_realized_vol_change_21d_max|realized_to_structural_vol_ratio|realized_vol_dispersion_ratio|observation_frequency_clean|product_type|basket_type|nominal_maturity_bucket|basket_signature|primary_underlying|dominant_sector|highest_vol_sector|highest_structural_vol_underlying|second_highest_structural_vol_underlying|lowest_structural_vol_underlying|highest_realized_vol_underlying|second_highest_realized_vol_underlying|lowest_realized_vol_underlying,validation_mae,3.0831778335806086
segmented_tuning,temporal_holdout,single,catboost_tuned__single_core,catboost_native__single_core,single_core,native,24.0,20.0,4.0,3.461346428945276,,,,,,,,,,,,,,3299.0,534.0,,,,,,,,autocall_barrier_pct|protection_barrier_pct|barrier_gap_pct|no_call_period_months|no_call_fraction_of_maturity|callable_maturity_months|observation_interval_months|is_daily_observation|estimated_observation_count|post_no_call_observation_count|nominal_maturity_months|requested_year|structural_base_vol_mean|quoted_implied_vol|realized_vol_63d_mean|basket_realized_vol_21d_mean|basket_realized_vol_126d_mean|basket_realized_vol_trend_mean|basket_realized_vol_zscore_mean|basket_realized_vol_change_21d_mean,observation_frequency_clean|product_type|nominal_maturity_bucket|dominant_sector,autocall_barrier_pct|protection_barrier_pct|barrier_gap_pct|no_call_period_months|no_call_fraction_of_maturity|callable_maturity_months|observation_interval_months|is_daily_observation|estimated_observation_count|post_no_call_observation_count|nominal_maturity_months|requested_year|structural_base_vol_mean|quoted_implied_vol|realized_vol_63d_mean|basket_realized_vol_21d_mean|basket_realized_vol_126d_mean|basket_realized_vol_trend_mean|basket_realized_vol_zscore_mean|basket_realized_vol_change_21d_mean|observation_frequency_clean|product_type|nominal_maturity_bucket|dominant_sector,validation_mae,3.461346428945276
segmented_tuning,temporal_holdout,worst_of,catboost_tuned__worst_of_core,catboost_native__worst_of_core,worst_of_core,native,166.0,153.0,13.0,2.940935630883875,,,,,,,,,,,,,,6508.0,1044.0,,,,,,,,autocall_barrier_pct|protection_barrier_pct|barrier_gap_pct|no_call_period_months|no_call_fraction_of_maturity|callable_maturity_months|observation_interval_months|is_daily_observation|estimated_observation_count|post_no_call_observation_count|nominal_maturity_months|requested_year|basket_size|underlying_BSKR|underlying_CLNE|underlying_CORL|underlying_DRC|underlying_HTTX|underlying_JEDI|underlying_KYBR|underlying_MNDO|underlying_NABO|underlying_POBK|underlying_REBL|underlying_SITH|underlying_TECH|underlying_WOOK|pair_BSKR_CLNE|pair_BSKR_CORL|pair_BSKR_DRC|pair_BSKR_HTTX|pair_BSKR_JEDI|pair_BSKR_KYBR|pair_BSKR_MNDO|pair_BSKR_NABO|pair_BSKR_POBK|pair_BSKR_REBL|pair_BSKR_SITH|pair_BSKR_TECH|pair_BSKR_WOOK|pair_CLNE_CORL|pair_CLNE_DRC|pair_CLNE_HTTX|pair_CLNE_JEDI|pair_CLNE_KYBR|pair_CLNE_MNDO|pair_CLNE_NABO|pair_CLNE_POBK|pair_CLNE_REBL|pair_CLNE_SITH|pair_CLNE_TECH|pair_CLNE_WOOK|pair_CORL_DRC|pair_CORL_HTTX|pair_CORL_JEDI|pair_CORL_KYBR|pair_CORL_MNDO|pair_CORL_NABO|pair_CORL_POBK|pair_CORL_REBL|pair_CORL_SITH|pair_CORL_TECH|pair_CORL_WOOK|pair_DRC_HTTX|pair_DRC_JEDI|pair_DRC_KYBR|pair_DRC_MNDO|pair_DRC_NABO|pair_DRC_POBK|pair_DRC_REBL|pair_DRC_SITH|pair_DRC_TECH|pair_DRC_WOOK|pair_HTTX_JEDI|pair_HTTX_KYBR|pair_HTTX_MNDO|pair_HTTX_NABO|pair_HTTX_POBK|pair_HTTX_REBL|pair_HTTX_SITH|pair_HTTX_TECH|pair_HTTX_WOOK|pair_JEDI_KYBR|pair_JEDI_MNDO|pair_JEDI_NABO|pair_JEDI_POBK|pair_JEDI_REBL|pair_JEDI_SITH|pair_JEDI_TECH|pair_JEDI_WOOK|pair_KYBR_MNDO|pair_KYBR_NABO|pair_KYBR_POBK|pair_KYBR_REBL|pair_KYBR_SITH|pair_KYBR_TECH|pair_KYBR_WOOK|pair_MNDO_NABO|pair_MNDO_POBK|pair_MNDO_REBL|pair_MNDO_SITH|pair_MNDO_TECH|pair_MNDO_WOOK|pair_NABO_POBK|pair_NABO_REBL|pair_NABO_SITH|pair_NABO_TECH|pair_NABO_WOOK|pair_POBK_REBL|pair_POBK_SITH|pair_POBK_TECH|pair_POBK_WOOK|pair_REBL_SITH|pair_REBL_TECH|pair_REBL_WOOK|pair_SITH_TECH|pair_SITH_WOOK|pair_TECH_WOOK|basket_complexity_score|worst_of_pressure|worst_of_vol_pressure|structural_base_vol_mean|structural_base_vol_min|structural_base_vol_max|structural_base_vol_second_highest|structural_base_vol_range|structural_base_vol_top2_spread|structural_vol_dispersion_ratio|sector_count|sector_concentration|has_multiple_sectors|realized_vol_63d_second_highest|realized_vol_63d_top2_spread|worst_of_structural_base_vol_range|worst_of_structural_vol_top2_spread|worst_of_realized_vol_63d_range|worst_of_realized_vol_top2_spread|quoted_implied_vol|realized_vol_63d_mean|realized_vol_63d_min|realized_vol_63d_max|realized_vol_63d_range|basket_realized_vol_21d_mean|basket_realized_vol_21d_max|basket_realized_vol_126d_mean|basket_realized_vol_126d_max|basket_realized_vol_trend_mean|basket_realized_vol_trend_max|basket_realized_vol_zscore_mean|basket_realized_vol_zscore_max|implied_minus_realized_vol_mean|realized_to_structural_vol_ratio|realized_vol_dispersion_ratio,observation_frequency_clean|product_type|basket_type|nominal_maturity_bucket|basket_signature|dominant_sector|highest_vol_sector|highest_structural_vol_underlying|second_highest_structural_vol_underlying|lowest_structural_vol_underlying|highest_realized_vol_underlying|second_highest_realized_vol_underlying|lowest_realized_vol_underlying,autocall_barrier_pct|protection_barrier_pct|barrier_gap_pct|no_call_period_months|no_call_fraction_of_maturity|callable_maturity_months|observation_interval_months|is_daily_observation|estimated_observation_count|post_no_call_observation_count|nominal_maturity_months|requested_year|basket_size|underlying_BSKR|underlying_CLNE|underlying_CORL|underlying_DRC|underlying_HTTX|underlying_JEDI|underlying_KYBR|underlying_MNDO|underlying_NABO|underlying_POBK|underlying_REBL|underlying_SITH|underlying_TECH|underlying_WOOK|pair_BSKR_CLNE|pair_BSKR_CORL|pair_BSKR_DRC|pair_BSKR_HTTX|pair_BSKR_JEDI|pair_BSKR_KYBR|pair_BSKR_MNDO|pair_BSKR_NABO|pair_BSKR_POBK|pair_BSKR_REBL|pair_BSKR_SITH|pair_BSKR_TECH|pair_BSKR_WOOK|pair_CLNE_CORL|pair_CLNE_DRC|pair_CLNE_HTTX|pair_CLNE_JEDI|pair_CLNE_KYBR|pair_CLNE_MNDO|pair_CLNE_NABO|pair_CLNE_POBK|pair_CLNE_REBL|pair_CLNE_SITH|pair_CLNE_TECH|pair_CLNE_WOOK|pair_CORL_DRC|pair_CORL_HTTX|pair_CORL_JEDI|pair_CORL_KYBR|pair_CORL_MNDO|pair_CORL_NABO|pair_CORL_POBK|pair_CORL_REBL|pair_CORL_SITH|pair_CORL_TECH|pair_CORL_WOOK|pair_DRC_HTTX|pair_DRC_JEDI|pair_DRC_KYBR|pair_DRC_MNDO|pair_DRC_NABO|pair_DRC_POBK|pair_DRC_REBL|pair_DRC_SITH|pair_DRC_TECH|pair_DRC_WOOK|pair_HTTX_JEDI|pair_HTTX_KYBR|pair_HTTX_MNDO|pair_HTTX_NABO|pair_HTTX_POBK|pair_HTTX_REBL|pair_HTTX_SITH|pair_HTTX_TECH|pair_HTTX_WOOK|pair_JEDI_KYBR|pair_JEDI_MNDO|pair_JEDI_NABO|pair_JEDI_POBK|pair_JEDI_REBL|pair_JEDI_SITH|pair_JEDI_TECH|pair_JEDI_WOOK|pair_KYBR_MNDO|pair_KYBR_NABO|pair_KYBR_POBK|pair_KYBR_REBL|pair_KYBR_SITH|pair_KYBR_TECH|pair_KYBR_WOOK|pair_MNDO_NABO|pair_MNDO_POBK|pair_MNDO_REBL|pair_MNDO_SITH|pair_MNDO_TECH|pair_MNDO_WOOK|pair_NABO_POBK|pair_NABO_REBL|pair_NABO_SITH|pair_NABO_TECH|pair_NABO_WOOK|pair_POBK_REBL|pair_POBK_SITH|pair_POBK_TECH|pair_POBK_WOOK|pair_REBL_SITH|pair_REBL_TECH|pair_REBL_WOOK|pair_SITH_TECH|pair_SITH_WOOK|pair_TECH_WOOK|basket_complexity_score|worst_of_pressure|worst_of_vol_pressure|structural_base_vol_mean|structural_base_vol_min|structural_base_vol_max|structural_base_vol_second_highest|structural_base_vol_range|structural_base_vol_top2_spread|structural_vol_dispersion_ratio|sector_count|sector_concentration|has_multiple_sectors|realized_vol_63d_second_highest|realized_vol_63d_top2_spread|worst_of_structural_base_vol_range|worst_of_structural_vol_top2_spread|worst_of_realized_vol_63d_range|worst_of_realized_vol_top2_spread|quoted_implied_vol|realized_vol_63d_mean|realized_vol_63d_min|realized_vol_63d_max|realized_vol_63d_range|basket_realized_vol_21d_mean|basket_realized_vol_21d_max|basket_realized_vol_126d_mean|basket_realized_vol_126d_max|basket_realized_vol_trend_mean|basket_realized_vol_trend_max|basket_realized_vol_zscore_mean|basket_realized_vol_zscore_max|implied_minus_realized_vol_mean|realized_to_structural_vol_ratio|realized_vol_dispersion_ratio|observation_frequency_clean|product_type|basket_type|nominal_maturity_bucket|basket_signature|dominant_sector|highest_vol_sector|highest_structural_vol_underlying|second_highest_structural_vol_underlying|lowest_structural_vol_underlying|highest_realized_vol_underlying|second_highest_realized_vol_underlying|lowest_realized_vol_underlying,validation_mae,2.940935630883875
