base_model_name,tuned_model_name,best_validation_mae,refit_validation_mae,n_trials,best_params
catboost_native__all_without_noise,catboost_tuned__all_without_noise,3.0831778335806086,3.0831778335806086,22,"{""bagging_temperature"": 0.24830884323481145, ""depth"": 6, ""iterations"": 737, ""l2_leaf_reg"": 3.8024913874277413, ""learning_rate"": 0.07674946188421863, ""random_strength"": 1.4557129110011542}"
catboost_native__all_without_commercial,catboost_tuned__all_without_commercial,3.102194783081594,3.102194783081594,21,"{""bagging_temperature"": 0.017270175668650967, ""depth"": 6, ""iterations"": 882, ""l2_leaf_reg"": 28.360032199480038, ""learning_rate"": 0.04428255387427315, ""random_strength"": 1.4218586926633265}"
lightgbm_native__all_without_noise,lightgbm_tuned__all_without_noise,3.2397716430051022,3.2397716430051022,25,"{""colsample_bytree"": 0.7497458385211739, ""learning_rate"": 0.035222007263568285, ""min_child_samples"": 96, ""n_estimators"": 884, ""num_leaves"": 100, ""reg_alpha"": 1.1915248207745566e-06, ""reg_lambda"": 1.1349404285028033e-05, ""subsample"": 0.7137679211561242}"
hist_gradient_boosting__all_without_noise,hist_gradient_boosting_tuned__all_without_noise,3.254305635119158,3.254305635119158,25,"{""l2_regularization"": 1.7836706611484927, ""learning_rate"": 0.037360703772718454, ""max_bins"": 180, ""max_iter"": 554, ""max_leaf_nodes"": 46, ""min_samples_leaf"": 54}"
