segment,feature,train_target_corr,validation_target_corr,corr_range,validation_sign_flip_vs_train,abs_validation_shift_in_train_sd
single,basket_realized_vol_trend_mean,-0.11548784773664797,0.1445625179111347,0.26005036564778267,True,0.002023415975083285
single,basket_realized_vol_trend_max,-0.11548784773664797,0.1445625179111347,0.26005036564778267,True,0.002023415975083285
single,basket_realized_vol_change_21d_mean,-0.08554009554325519,0.015205452432138958,0.10074554797539415,True,0.09678967141202219
single,basket_realized_vol_change_21d_max,-0.08554009554325519,0.015205452432138958,0.10074554797539415,True,0.09678967141202219
single,log_notional_credits,0.0023665943620911688,-0.06776625638191794,0.0701328507440091,True,0.06445398804431779
single,underlying_SITH,-0.0030787576335456323,0.00310474428560049,0.006183501919146122,True,0.0005940949041970268
single,basket_realized_vol_zscore_mean,-0.1718736597286232,-0.05579428167011059,0.11607937805851261,False,0.2243191962877912
single,basket_realized_vol_zscore_max,-0.1718736597286232,-0.05579428167011059,0.11607937805851261,False,0.2243191962877912
single,autocall_to_protection_ratio,0.1624508091037264,0.08313823015092642,0.07931257895279997,False,0.020883373496727992
single,notional_credits,-0.0026221865314294645,-0.08097717302069803,0.07835498648926856,False,0.02471014973258084
single,protection_barrier_pct,0.0021339044106911723,0.07825886662019847,0.0761249622095073,False,0.02056067198022657
single,protection_buffer_pct,-0.002133904410691178,-0.07825886662019847,0.07612496220950729,False,0.02056067198022445
single,underlying_WOOK,0.00414870109804575,0.07588987182774974,0.07174117072970398,False,0.03915327300777386
single,barrier_gap_pct,0.19481734326789243,0.1290428251328104,0.06577451813508203,False,0.02073904107593342
single,quoted_to_structural_vol_ratio,-0.005346661826570053,-0.06968625519270552,0.06433959336613547,False,0.03184421217205677
single,underlying_JEDI,0.36290015964043465,0.3031519492792697,0.059748210361164955,False,0.11411270311268376
single,quoted_minus_structural_vol_mean,-0.05468723171010679,-0.10979886823244464,0.05511163652233785,False,0.04891548395671073
single,callable_maturity_months,0.3073455381994235,0.36122560157824757,0.05388006337882406,False,0.04586185573030927
