segment,split,rows,mean,median,std,min,p10,p25,p75,p90,p95,max,duration_60_plus_rate
single,train,3299,29.38490451652016,26.88,16.761827027916837,2.03,9.63,16.75,38.61,52.36200000000003,62.30499999999995,96.78,0.057290087905425884
single,validation,534,29.706179775280898,26.965,17.718452513899745,3.94,9.005,15.7175,38.74,52.537,62.315999999999995,96.94,0.06741573033707865
worst_of,train,6508,45.28842194222495,40.905,22.4949976881918,0.16,20.294,27.9975,58.1875,78.49600000000002,90.36249999999998,127.71,0.23186846957590657
worst_of,validation,1044,44.01831417624521,39.74,21.7620483910731,6.44,20.326,27.564999999999998,56.04,75.604,88.15799999999997,118.15,0.210727969348659
